Name,Rating,Rating Count,Category,Full Address,Phone Number,Source City,Scrape Date
Curly Gurly Cloche - Home Baker,4.9,19.0,Bakery and Cake Shop,"Gurusaravana homes, Andavar Nagar 1st St, Kodambakkam, Chennai, Tamil Nadu 600024",095662 71393,Chennai,2025-04-02 17:13:32
"Yard Bakery - A premium bakery for birthday cakes, customized cakes in Hyderabad",4.9,1727.0,Bakery and Cake Shop,"Plot No. 15, Lodha Rd, opposite to Reliance Digital, beside Yoga Vignana Kendram, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500072",099638 80308,Hyderābād,2025-04-02 17:19:48
Karachi Bakery,4.3,27416.0,Bakery and Cake Shop,"C.V. Towers, Ground Floor, SBR, Hitech City Rd, opp. Pizza Hut | Madhapur, Hyderabad, Madhapur, Telangana 500081",070328 88730,Hyderābād,2025-04-02 17:19:48
Labonel - Banjara Hills,4.5,1036.0,Patisserie,"Ground Floor, ANR Center, NCC Ground, 6-3-249/5/1, Rd Number 1, opposite City Centre, Naveen Nagar, Banjara Hills, Hyderabad, Telangana 500034",095817 74709,Hyderābād,2025-04-02 17:19:48
Sourir Bakehouse® - Cloud Bakery,4.7,237.0,Bakery and Cake Shop,"Flat 204, 2nd Floor, Gagan Paradise Apartment, Minister Rd, D.V.Colony, Krishna Nagar Colony, Ramgopalpet, Secunderabad, Hyderabad, Telangana 500003",088855 90190,Hyderābād,2025-04-02 17:19:48
Hyderabad Baking Company,4.3,404.0,Bakery and Cake Shop,"Hyderabad Marriott Hotel & Convention Centre, Tank Bund Rd, Opp, Hussain Sagar, Lake, Hyderabad, Telangana 500080",040 2752 2589,Hyderābād,2025-04-02 17:19:48
Karachi Bakery Kothapet,4.2,8615.0,Bakery and Cake Shop,"1-15-12/4, Doctor's colony, LV nagar, beside cream stone Dilshuk Nagar Road Metro pillar number 1638, Hyderabad, Telangana 500035",095151 11953,Hyderābād,2025-04-02 17:19:48
"Swiss Castle Bakery, Abids",4.3,1673.0,Bakery and Cake Shop,"Bus Stop, opposite Grammar School, Chirag Ali Lane, Abids, Hyderabad, Telangana 500001",063098 30013,Hyderābād,2025-04-02 17:19:48
Conçu Jubilee Hills,4.5,7850.0,Cafe,"Plot No 738, Rd Number 37, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",099858 00031,Hyderābād,2025-04-02 17:19:48
Subhan bakery,4.4,5928.0,Bakery and Cake Shop,"355/3,4, Ali Bin Mahfooz Complex, shop no G1 8-1, 8 & 9 kabir Arafat, Shaikpet Rd, Aravind Nagar Colony, Toli Chowki, Hyderabad, Telangana 500008",N/A,Hyderābād,2025-04-02 17:19:48
KS Bakers,4.3,13959.0,Bakery and Cake Shop,"Prashanka Enclave Shop No.1,2,3, JNTU Road KPHB, K P H B Phase 6, Hyderabad, Telangana 500072",079979 80004,Hyderābād,2025-04-02 17:19:48
KS Bakers Dilsukh Nagar,4.6,5690.0,Bakery and Cake Shop,"16-11-741/C/2B, Nandini Complex, beside Vijaya Diagnostic, Dilsukhnagar, Hyderabad, Telangana 500060",091901 01111,Hyderābād,2025-04-02 17:19:48
Morine Bakery,4.2,6993.0,Bakery and Cake Shop,"12-2-719/1, Nanal Nagar Rd, Kakatiya Nagar, Toli Chowki, Hyderabad, Telangana 500008",040 2351 0000,Hyderābād,2025-04-02 17:19:48
Frost Bakery,4.4,323.0,Bakery and Cake Shop,"BHD Food World CJ Residency, PG Road, Innovation Colony, Jogani, Ramgopalpet, Hyderabad, Telangana 500003",091338 47766,Hyderābād,2025-04-02 17:19:48
Bakelore Banjara Hills- Best Bakery In Banjara Hills Hyderabad,4.7,988.0,Bakery and Cake Shop,"8-2-332/1/A, Rd Number 3, UBI Colony, Green Valley, Banjara Hills, Hyderabad, Telangana 500034",081210 34992,Hyderābād,2025-04-02 17:19:48
Magnolia Bakery,4.2,2115.0,Bakery and Cake Shop,"776-A, Ground Floor, Manakchand Plaza, Road No. 45, & 39, Jubilee Hills, Hyderabad, Telangana 500033",080505 46005,Hyderābād,2025-04-02 17:19:48
Karachi Bakery Hitech City,4.2,6573.0,Bakery and Cake Shop,"Shop no.2 & 3, metro station, 140/2 & 3, Hitech City Rd, nearby IKEA 1, opp. Mindspace, Phase 2, HITEC City, Rai Durg, Hyderabad, Telangana 500081",070328 88719,Hyderābād,2025-04-02 17:19:48
Labonel - Gachibowli,4.3,988.0,Patisserie,"Survey No. 18 Ground Floor, Vaishnavi's Sree Square, 1-72/2/3/6, 7/vs/g-1, Plot No. 6 & 7, Gachibowli, Hyderabad, Telangana 500032",096427 01051,Hyderābād,2025-04-02 17:19:48
Karachi Bakery Shaikpet,4.3,9955.0,Bakery and Cake Shop,"Unit No, 8-1, 301, Shaikpet Rd, AP Animal Husbandry Employees Colony, Shaikpet, Hyderabad, Telangana 500008",074165 15555,Hyderābād,2025-04-02 17:19:48
Labonel - Jubilee Hills,4.4,1087.0,Patisserie,"1335/A, Road No. 45, Jubilee Hills, Hyderabad, Telangana 500033",082978 45333,Hyderābād,2025-04-02 17:19:48
Eat 'N' Joy Bakers,4.1,1474.0,Bakery and Cake Shop,"Near, Shop No. 8-3-231/F64 & 65, Jubilee Hills Check Post Rd, Kamalapuri Colony, Indra Nagar, Hyderabad, Telangana 500045",072070 86219,Hyderābād,2025-04-02 17:19:48
Midland Bakery,4.0,7439.0,Bakery and Cake Shop,"Mar's Plaza, 8-3-213, X Roads, Rajeev Nagar, Moti Nagar, Hyderabad, Telangana 500018",091772 34789,Hyderābād,2025-04-02 17:19:48
"Swiss Castle Bakery, Banjarahills",4.1,290.0,Bakery and Cake Shop,"3rd Floor, 8, mangatrai jewellers, 2-272/28, Road No. 2, opp. to Lumbini Jewel Mall, Shawkatnagar, Andhra Pradesh Real Estate, Green Valley, Banjara Hills, Hyderabad, Telangana 500034",063098 30036,Hyderābād,2025-04-02 17:19:48
Terrarich Cakes (Pure Veg),4.9,434.0,Bakery and Cake Shop,"3rd Floor, 8, mangatrai jewellers, 2-272/28, Road No. 2, opp. to Lumbini Jewel Mall, Shawkatnagar, Andhra Pradesh Real Estate, Green Valley, Banjara Hills, Hyderabad, Telangana 500034",063098 30036,Hyderābād,2025-04-02 17:19:48
"Karachi Bakery & Cafe, Gachibowli",4.2,1457.0,Bakery and Cake Shop,"Shop No. 48,49 & 50, Sri Narayana Building, beside Paradise Hotel, Vinayak Nagar, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",074165 70909,Hyderābād,2025-04-02 17:19:48
Red Velvet Bakers,4.7,668.0,Bakery and Cake Shop,"KPHB Phase I, Dharma Reddy Colony Phase I, Kukatpally, Hyderabad, Telangana 500072",099592 57787,Hyderābād,2025-04-02 17:19:48
Brown Bear Bakers,4.1,3887.0,Bakery and Cake Shop,"Gowlikar house, 3-6-270,270, Narayanguda Rd, AP State Housing Board, Himayatnagar, Hyderabad, Telangana 500029",088851 19110,Hyderābād,2025-04-02 17:19:48
Bakingo - Cake Shop in Hyderabad,3.8,467.0,Bakery and Cake Shop,"Flat No. 204, 2nd Floor, Bhanu Arcade, behind Hitech Theater Lane, Sri Sai Nagar, Madhapur, Hyderabad, Telangana 500081",088825 53333,Hyderābād,2025-04-02 17:19:48
Lora's Baked Basket - Artisan Bakery & Cake Shop | Order Cakes Online in Hyderabad,4.8,251.0,Bakery and Cake Shop,"Flat 1202 Emerald Block Myhome Jewel Opp. GSM mall,Madinaguda, Miyapur, Hyderabad, Telangana 500050",091000 95221,Hyderābād,2025-04-02 17:19:48
"Swiss Castle Bakery, Hitex Road",4.2,1164.0,Bakery and Cake Shop,"Shop no 4, ground floor Magnes lake view Beside Andhra bank Khanamet,seri lingampally. R.R.dist, Telangana 500084",063098 30068,Hyderābād,2025-04-02 17:19:48
Hyderabad Bake House,4.4,161.0,Bakery and Cake Shop,"S.No.4-900/1, Martanda nagar, New hafeezpet Miyapur, Main Road, Hyderabad, Telangana 500049",097002 26988,Hyderābād,2025-04-02 17:19:48
Harley's Fine Baking - Hitec City,4.5,272.0,Bakery and Cake Shop,"Ground Floor, Medicover Hospital, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081",080830 98888,Hyderābād,2025-04-02 17:19:48
Bake Zone Bakery&Lounge,4.0,727.0,Bakery and Cake Shop,"Aishwarya Towers, Indira Park Rd, opposite NTR Stadium Road, New SBH Colony, SBH colony, arvindnagar, Hyderabad, Telangana 500029",099667 79200,Hyderābād,2025-04-02 17:19:48
Harley's Ivory Lounge - Nanakramguda,4.5,2390.0,Bakery and Cake Shop,"Survey No:55/E, st Floor, Nanakramguda Rd, below Medics Healthcare, Hyderabad, Telangana 500032",080830 98888,Hyderābād,2025-04-02 17:19:48
Just Bake Gachibowli,4.4,588.0,Bakery and Cake Shop,"Shop No.2, 48/P/21, Prof CR Road, Sri Shyam Nagar, Telecom Nagar, Gachibowli, Hyderabad, Telangana 500032",096666 69210,Hyderābād,2025-04-02 17:19:48
Irfan Bakery -| Best bakery in Hyderabad.,4.3,153.0,Bakery and Cake Shop,"19-4-279, B/37/B, Nawab Sahab Kunta Rd, Jahanuma, Nawab Saheb Kunta, Hyderabad, Telangana 500053",097000 76342,Hyderābād,2025-04-02 17:19:48
Bake-a-tude ( Home bakery),4.9,59.0,Bakery and Cake Shop,"High Fields Rd, behind Continental Hospitals, Financial District, Nanakramguda, Telangana 500032",072594 10763,Hyderābād,2025-04-02 17:19:48
Red Oven Bakers,4.3,525.0,Bakery and Cake Shop,"19-2-25/A/11/3, Choone Ki Bhatti, Sattar Bagh, Phoolbagh, Nawab Saheb Kunta, Hyderabad, Telangana 500053",090001 14606,Hyderābād,2025-04-02 17:19:48
Reliance Bakery,4.2,1231.0,Bakery and Cake Shop,"Sardar Patel Rd, Old Patigadda, Prakash Nagar, New, Hyderabad, Telangana 500016",040 2776 7558,Hyderābād,2025-04-02 17:19:48
Bakers Harvest,4.2,3723.0,Bakery and Cake Shop,"1 & 2, Meenakshi Bamboo's, Commercial Complex, near Ramky Tower's, Bamboos, Phase 2, Gachibowli, Hyderabad, Telangana 500081",070368 44444,Hyderābād,2025-04-02 17:19:48
The Bake Box,3.9,2517.0,Bakery and Cake Shop,"1 & 2, Meenakshi Bamboo's, Commercial Complex, near Ramky Tower's, Bamboos, Phase 2, Gachibowli, Hyderabad, Telangana 500081",070368 44444,Hyderābād,2025-04-02 17:19:48
CoolCake - Midnight cake delivery in Hyderabad,4.3,457.0,Bakery and Cake Shop,"H, No 5-6-33, Sangeet Nagar, Kukatpally, Dayerguda, Hyderabad, Telangana 500072",090007 91011,Hyderābād,2025-04-02 17:19:48
ROCH Cake Studio - Best Cake Studio in Hyderabad,4.9,240.0,Cake shop,"Plot no.164/3, opp. Divya Arcade, Moti Nagar, Erragadda, Hyderabad, Telangana 500018",090001 43716,Hyderābād,2025-04-02 17:19:48
Sind Bakery,4.1,1469.0,Bakery and Cake Shop,"Vasavi Towers, 1-1-40, Sarojini Devi Rd, Krishna Complex, Kalasiguda, Hyderabad, Secunderabad, Telangana 500003",091001 95800,Hyderābād,2025-04-02 17:19:48
GHRELIN CAFE AND PATISSERIE,4.2,636.0,Bakery and Cake Shop,"Vasavi Towers, 1-1-40, Sarojini Devi Rd, Krishna Complex, Kalasiguda, Hyderabad, Secunderabad, Telangana 500003",091001 95800,Hyderābād,2025-04-02 17:19:48
Hulchal Desserts & Bakers,4.4,219.0,Bakery and Cake Shop,"DLF BUILDING, Street No. 3, Opp Gate, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",088855 52082,Hyderābād,2025-04-02 17:19:48
The Baking Culture | Eggless Premium Artisanal Bakery | Banjara Hills,4.8,96.0,Patisserie,"DLF BUILDING, Street No. 3, Opp Gate, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032",088855 52082,Hyderābād,2025-04-02 17:19:48
Bake Away Bakers,4.0,676.0,Bakery and Cake Shop,"Apollo Hospital To Lotus Pond Road, 99, Road No. 92, adjacent to GHMC Park, B' Colony, Journalist, Jubilee Hills, Hyderabad, Telangana 500034",097043 66488,Hyderābād,2025-04-02 17:19:48
"Swiss Castle Bakery, Jubliee Hills",4.3,626.0,Bakery and Cake Shop,"House No : 8-2-293/82/J/B/1 Journalist's Colony, Road No. 92, Jubilee Hills, Hyderabad, Telangana 500096",091007 22268,Hyderābād,2025-04-02 17:19:48
Occasionkart Cakes | Theme cakes | Customized Cakes | Engagement cakes,4.8,337.0,Bakery and Cake Shop,"House No : 8-2-293/82/J/B/1 Journalist's Colony, Road No. 92, Jubilee Hills, Hyderabad, Telangana 500096",091007 22268,Hyderābād,2025-04-02 17:19:48
Mountain Bakery,4.0,960.0,Bakery and Cake Shop,"Shop No 8-2-275/21/23, Road No. 2, Near TV 9, UBI Colony, Andhra Pradesh Real Estate, Green Valley, Banjara Hills, Hyderabad, Telangana 500034",097010 07786,Hyderābād,2025-04-02 17:19:48
Bakelore Madhapur,4.6,2748.0,Bakery and Cake Shop,"Shop No 8-2-275/21/23, Road No. 2, Near TV 9, UBI Colony, Andhra Pradesh Real Estate, Green Valley, Banjara Hills, Hyderabad, Telangana 500034",097010 07786,Hyderābād,2025-04-02 17:19:48
"Ocean Of Bakes, Cakes, Bakes, Coffee, Chinese",4.3,2536.0,Cake shop,"16-2-183, nizampet x roads, Sardar Patel Nagar, IDPL Staff Cooperative Housing Society, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500072",072072 22922,Hyderābād,2025-04-02 17:19:48
Chef Bakers DLF,4.5,181.0,Bakery and Cake Shop,"Plot no, 33/A, APHB Colony, Indira Nagar, DLF 9346590751, Hyderabad, Telangana 500032",088804 04444,Hyderābād,2025-04-02 17:19:48
Bakelore Kondapur- Best Bakery In Kondapur Hyderabad,4.5,625.0,Bakery and Cake Shop,"Plot no, 33/A, APHB Colony, Indira Nagar, DLF 9346590751, Hyderabad, Telangana 500032",088804 04444,Hyderābād,2025-04-02 17:19:48
Big Byte Bakers,4.1,3054.0,Bakery and Cake Shop,"Door No. 8, 3-978/3, Srinagar Colony Main Rd, Srinagar Colony, SBH Colony, Yousufguda, Hyderabad, Telangana 500073",062626 21994,Hyderābād,2025-04-02 17:19:48
American Baker's,4.1,250.0,Bakery and Cake Shop,"Door No. 8, 3-978/3, Srinagar Colony Main Rd, Srinagar Colony, SBH Colony, Yousufguda, Hyderabad, Telangana 500073",062626 21994,Hyderābād,2025-04-02 17:19:48
Cake Bank,4.2,337.0,Cake shop,"Lingapur Complex, House No. 3-6-237, Shop No.7 And 8, Himayat Nagar Rd, beside Minerva Coffee Shop, Himayatnagar, Hyderabad, Telangana 500029",040 2322 3722,Hyderābād,2025-04-02 17:19:48
"Theobroma Bakery and Cake Shop - Jubilee Hills 10, Hyderabad",4.1,495.0,Bakery and Cake Shop,"Plot No, Shop No. G-3B, Apurupa BDR, 271, Road Number 10, Jubilee Hills, Hyderabad, Telangana 500033",081828 81881,Hyderābād,2025-04-02 17:19:48
"Swiss Castle Bakery, P.G Road",4.2,1679.0,Bakery and Cake Shop,"303, No.206/1, 1-8, 8, PG Road, Sindhi Colony, Begumpet, Secunderabad, Telangana 500003",063098 30023,Hyderābād,2025-04-02 17:19:48
Big Bakers,4.1,234.0,Bakery and Cake Shop,"Shop No.8, Parking, 3-956/1, beside Big Bazaar Road, Pratap Nagar, Sri Nagar Colony, Nagarjuna Nagar colony, Punjagutta, Hyderabad, Telangana 500016",093986 32113,Hyderābād,2025-04-02 17:19:48
Secret Patisserie & Café,4.8,601.0,Bakery and Cake Shop,"Shop No: 4-7, Lakshmi Apartments, 6-1-1 to 6-1-4, Padmarao Nagar, Secunderabad, Telangana 500025",099590 65500,Hyderābād,2025-04-02 17:19:48
M3 Cakes By Manisha Chaudhary,5.0,358.0,Bakery and Cake Shop,"APARNA HILLPARK LAKE BREEZE, Aparna Hillpark Rd, Bandam Kommu, Chanda Nagar, Hyderabad, Telangana 500050",088790 59943,Hyderābād,2025-04-02 17:19:48
Master Bakers,4.1,1764.0,Bakery and Cake Shop,"Shop No.3, Varakantham Chambers, 4-419, Narayanguda Rd, Lingampally, Kachiguda, Hyderabad, Telangana 500027",N/A,Hyderābād,2025-04-02 17:19:48
"Swiss Castle Bakery, Narayanguda",4.2,1348.0,Bakery and Cake Shop,"Police Station, Narayanguda Road, YMCA Cir, opposite Narayanguda, Hyderabad, Telangana 500029",063098 30019,Hyderābād,2025-04-02 17:19:48
45th Avenue by Karachi Bakery,4.4,1609.0,Bakery and Cake Shop,"Road No. 1, Nandagiri Hills, Jubilee Hills, Hyderabad, Telangana 500033",070328 88287,Hyderābād,2025-04-02 17:19:48
Creative Mini Bakers,4.9,171.0,Bakery and Cake Shop,"Badri Sai Charan Nilayam, Olympic Homes, Rd Number 9, Attapur, Telangana 500048",087669 89665,Hyderābād,2025-04-02 17:19:48
Fb Cakes Himayat Nagar,4.6,62.0,Cake shop,"Badri Sai Charan Nilayam, Olympic Homes, Rd Number 9, Attapur, Telangana 500048",087669 89665,Hyderābād,2025-04-02 17:19:48
"The Ofen - Coffee Shop, Cake Shop, Bakery Shop, Cafe Shop, Restaurant In Banjara Hills",4.2,1799.0,Bakery and Cake Shop,"49, Ground Floor, Road No. 10, Banjara Hills, Hyderabad, Telangana 500034",096667 17123,Hyderābād,2025-04-02 17:19:48
Cake L'amore,4.3,135.0,Bakery and Cake Shop,"Ground floor, 1-2, 593/23, Rd Number 3, Domalguda, Himayatnagar, Hyderabad, Telangana 500029",N/A,Hyderābād,2025-04-02 17:19:48
"Theobroma Bakery and Cake Shop - Somajiguda, Hyderabad",4.1,321.0,Cake shop,"A&B, Ground FLoor, Shobhan Building, 6-3-927, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082",081828 81881,Hyderābād,2025-04-02 17:19:48
Sabrosos - Premium Customized Cakes,4.8,271.0,Bakery and Cake Shop,"3rd floor, C929+3GW Fortune Green Homes Commercial complex, above Big Basket Supermarket, Puppalguda, Hyderabad, Telangana 500089",080960 93300,Hyderābād,2025-04-02 17:19:48
Auberry The Bake Shop,4.9,177.0,Bakery and Cake Shop,"Floor -2, Next Galleria PVR, L&T Mall, Punjagutta, Hyderabad, Telangana 500082",096977 34567,Hyderābād,2025-04-02 17:19:48
Éclat Pâtisserie - Home Bakers | Cake Shop | Custom Cakes,5.0,36.0,Cake shop,"Floor -2, Next Galleria PVR, L&T Mall, Punjagutta, Hyderabad, Telangana 500082",096977 34567,Hyderābād,2025-04-02 17:19:48
Rose Bakery Since 1951,4.1,660.0,Bakery and Cake Shop,"16-7-755/56, Chaderghat, Chaderghat, Hyderabad, Telangana 500024",099498 90521,Hyderābād,2025-04-02 17:19:48
7 Star Home Bakers | Eggless | Free Delivery | Hyderabad,5.0,221.0,Cake shop,"Villa #197, Lane 5A, Senthan Green Park, Ameenpur, Hyderabad, Telangana 502032",089191 82827,Hyderābād,2025-04-02 17:19:48
Cake Thrill,4.9,125.0,Bakery and Cake Shop,"Metro Station, below Hitech City, beside NIFT Gate, Jaihind Enclave, HITEC City, Hyderabad, Telangana 500081",091777 01616,Hyderābād,2025-04-02 17:19:48
The Best Bangalore Iyengar Bakery,4.2,524.0,Bakery and Cake Shop,"F9PR+PMQ, Unnamed Road, KPHB Phase III, K P H B Phase 3, Kukatpally, Hyderabad, Telangana 500072",N/A,Hyderābād,2025-04-02 17:19:48
Crafted Cake (Home Bakery),4.9,58.0,Cake shop,"The Lawnz, Kokapet, Hyderabad, Telangana 500075",081067 35083,Hyderābād,2025-04-02 17:19:48
"Swiss Castle Bakery, West Marredpally",4.3,1935.0,Bakery and Cake Shop,"Shop No. 6, Street 4, Aswini Colony, Nehru Nagar, opp. Indian Overseas Bank, West Marredpally, Secunderabad, Telangana 500026",063098 30026,Hyderābād,2025-04-02 17:19:48
The Eventful Cakes,4.9,69.0,Bakery and Cake Shop,"MY HOME NAVADWEEPA, Certified Homebakers, FSSAI Registered, Madhapur, Hyderabad, Telangana 500081",088861 70007,Hyderābād,2025-04-02 17:19:48
Expresso Cakes,5.0,300.0,Bakery and Cake Shop,"MY HOME NAVADWEEPA, Certified Homebakers, FSSAI Registered, Madhapur, Hyderabad, Telangana 500081",088861 70007,Hyderābād,2025-04-02 17:19:48
What The Cake_WTC,4.9,373.0,Bakery and Cake Shop,"G-1004, G-Block, Om Sree Heights, Beside omsree brightview, Kowkoor Main Rd, Kowkoor, Secunderabad, Telangana 500010",079775 23814,Hyderābād,2025-04-02 17:19:48
Pure Bakes - Homemade Customised Cakes | Wedding Cakes | First Birthday Cakes | Engagement Cakes | Trending Cakes,5.0,70.0,Bakery and Cake Shop,"G-1004, G-Block, Om Sree Heights, Beside omsree brightview, Kowkoor Main Rd, Kowkoor, Secunderabad, Telangana 500010",079775 23814,Hyderābād,2025-04-02 17:19:48
The Pastry Picasso,5.0,63.0,Bakery and Cake Shop,"Vinayak Nagar Colony, Shaikpet, Hyderabad, Telangana 500081",082970 52316,Hyderābād,2025-04-02 17:19:48
Sitara Tea & Bakers,4.2,2524.0,Bakery and Cake Shop,"Vinayak Nagar Colony, Shaikpet, Hyderabad, Telangana 500081",082970 52316,Hyderābād,2025-04-02 17:19:48
JUST BAKE Financial district,4.4,60.0,Bakery and Cake Shop,"Kapil Towers, Survey No, 115, Road No. 2, opp. Icici Bank towers, Nanakramguda, Telangana 500008",097059 44999,Hyderābād,2025-04-02 17:19:48
Cakes N Hugs,4.6,147.0,Cake shop,"Shalimar Apartments, C50, Lata Enclave, Madhura Nagar, Hyderabad, Telangana 500038",095020 20446,Hyderābād,2025-04-02 17:19:48
Siddru bakers,4.2,300.0,Bakery and Cake Shop,"Shalimar Apartments, C50, Lata Enclave, Madhura Nagar, Hyderabad, Telangana 500038",095020 20446,Hyderābād,2025-04-02 17:19:48
Golden Gate Bakery & Stores,3.9,566.0,Bakery and Cake Shop,"Golden Gate Bakery, 1-2-288/22/8, Domalguda, Indira Park Cross Road, Gagan Mahal Street No 7, Aravindra Nagar, Domalguda, Himayatnagar, Hyderabad, Telangana 500029",N/A,Hyderābād,2025-04-02 17:19:48
Tempting Tarts Bakers,4.4,422.0,Bakery and Cake Shop,"Kalyan's Vijaya Towers, 411, KPR Colony, Manikonda, Hyderabad, Telangana 500089",098496 96525,Hyderābād,2025-04-02 17:19:48
O-Cakes Pragathi Nagar - Best Bakery in Pragathi nagar Hyderabad,4.8,381.0,Bakery and Cake Shop,"2-22-311/207A, Addagutta Society - HMT Hills Rd, near JNTU, Western Hills, Jal Vayu Vihar, Kukatpally, Hyderabad, Telangana 500085",086864 92765,Hyderābād,2025-04-02 17:19:48
Nishitha's Fine Baking,5.0,125.0,Bakery and Cake Shop,"2-22-311/207A, Addagutta Society - HMT Hills Rd, near JNTU, Western Hills, Jal Vayu Vihar, Kukatpally, Hyderabad, Telangana 500085",086864 92765,Hyderābād,2025-04-02 17:19:48
Karachi bisciuts,4.2,1311.0,Cookies,"NH 65, Bagher Complex, Fateh Maidan, Abids, Hyderabad, Telangana 500001",N/A,Hyderābād,2025-04-02 17:19:48
Hyderabad Cake House,4.7,160.0,Restaurant,"2-117/3/1/GF HS DARGA, Lanco Hills Rd, beside Western Plaza Road, Manikonda, Telangana 500008",063051 45367,Hyderābād,2025-04-02 17:19:48
Baking 8 Bakers,4.1,449.0,Bakery and Cake Shop,"2-117/3/1/GF HS DARGA, Lanco Hills Rd, beside Western Plaza Road, Manikonda, Telangana 500008",063051 45367,Hyderābād,2025-04-02 17:19:48
Cakes & Nuts,5.0,82.0,Cake shop,"Sree Sai Residency, SM homes, 201, opp. :, madhava hills, Kondapur, Telangana 500084",083744 96243,Hyderābād,2025-04-02 17:19:48
"Theobroma Bakery and Cake Shop - Banjara Hills, Hyderabad",4.0,245.0,Bakery and Cake Shop,"Sree Sai Residency, SM homes, 201, opp. :, madhava hills, Kondapur, Telangana 500084",083744 96243,Hyderābād,2025-04-02 17:19:48
Sahara Bakers,3.6,1423.0,Bakery and Cake Shop,"SRT 292, Indira Park Rd, P & T Colony, RTC Cross Road, Jawahar Nagar, Hyderabad, Telangana 500020",N/A,Hyderābād,2025-04-02 17:19:48
Cafe Niloufer,4.4,24293.0,Bakery and Cake Shop,"SRT 292, Indira Park Rd, P & T Colony, RTC Cross Road, Jawahar Nagar, Hyderabad, Telangana 500020",N/A,Hyderābād,2025-04-02 17:19:48
Aryan's Bakehouse,5.0,36.0,Wedding bakery,"Venkataraman Colony, Khairtabad, Hyderabad, Telangana 500004",096181 56996,Hyderābād,2025-04-02 17:19:48
Cake Smash - Customized Cakes Online Hyderabad|Engagement Cakes|First Birthday Cakes|Midnight Delivery| Pure Veg,4.7,199.0,Cake shop,"Venkataraman Colony, Khairtabad, Hyderabad, Telangana 500004",096181 56996,Hyderābād,2025-04-02 17:19:48
"Karachi Bakery Kingsway, Secunderabad",4.2,2779.0,Bakery and Cake Shop,"4-3-25, Rashtrapati Rd, beside city light hotel, Old Bhoiguda, ghasmandi, Secunderabad, Telangana 500003",088843 31320,Hyderābād,2025-04-02 17:19:48
German Bakery,4.2,13573.0,Bakery and Cake Shop,"292, N Main Rd, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001",072760 70390,Pune,2025-04-02 17:26:39
Pune Baking Company,4.3,710.0,Cafe,"292, N Main Rd, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001",072760 70390,Pune,2025-04-02 17:26:39
Pastry Corner,4.4,2690.0,Bakery and Cake Shop,"Erandwane, Pune, Maharashtra 411004",020 2543 3644,Pune,2025-04-02 17:26:39
Diamond Bakery,4.3,4626.0,Bakery and Cake Shop,"Erandwane, Pune, Maharashtra 411004",020 2543 3644,Pune,2025-04-02 17:26:39
Kayani Bakery,4.5,20049.0,Bakery and Cake Shop,"47, Vitthal Rao Shivarkar Rd, Fatima Nagar, Wanwadi, Pune, Maharashtra 411013",084848 62660,Pune,2025-04-02 17:26:39
Fantasy Bakery n patisserie,4.8,573.0,Cake shop,"Shop No 1, sanjay gandhi vasahat Near patticewala shop erandwane Pune 411 052, Pune, Maharashtra 411052",080109 75003,Pune,2025-04-02 17:26:39
Forennte Patisserie,4.5,1037.0,Bakery and Cake Shop,"Shop 1, 2, Princeton Flair, Lane No. 8, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001",088018 15555,Pune,2025-04-02 17:26:39
Dohiti Bake House,4.7,586.0,Bakery and Cake Shop,"कल्पना विला हाउसिंग सोसाइटी, 4, Anand Vidya Niketan High School Rd, Konark Nagar, Mhada Colony, Viman Nagar, Pune, Maharashtra 411014",088304 54474,Pune,2025-04-02 17:26:39
New Poona Bakery - Best bakery in pune,4.0,951.0,Bakery and Cake Shop,"546, Baburao Ganpatrao Virkar Rd, Narayan Peth, Pune, Maharashtra 411030",098817 17387,Pune,2025-04-02 17:26:39
New Empire Bakery,4.3,153.0,Bakery and Cake Shop,"575, Sachapir St, Camp, Pune, Maharashtra 411001",073853 66784,Pune,2025-04-02 17:26:39
The French Window Patisserie,4.3,1608.0,Bakery and Cake Shop,"Lane Number 5, next to Malaka Spice, Koregaon Park, Pune, Maharashtra 411001",097666 44202,Pune,2025-04-02 17:26:39
Baked Bites Home Bakery,4.9,1010.0,Cake shop,"Barton Court 3, Salisbury Park Market Yard (Next to Chintamani Ganesh Mandir OR, near Dillywala Dairy, Pune, Maharashtra 411037",098901 49911,Pune,2025-04-02 17:26:39
Santosh Bakery,4.3,6381.0,Cake shop,"1202/17 G, Apte Rd, Shivajinagar, Pune, Maharashtra 411004",077968 91122,Pune,2025-04-02 17:26:39
Pasteur Bakery,4.1,642.0,Bakery and Cake Shop,"6, MG Road, opposite Bombay Store, Camp, Pune, Maharashtra 411001",N/A,Pune,2025-04-02 17:26:39
